AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 100 and 200 meters,68506.0793623,2507097.71895,2575603.79831,270.897080079,131033.537778,131304.434858
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 200 and 400 meters,1113.05170104,23114.545046,24227.596747,153.744810283,8725.54683346,8879.29164374
Guinea,Africa,Western Africa,Low income,IDA,Elevation between 100 and 200 meters,161267.030929,574156.810173,735423.841102,96.8914004564,16144.3934391,16241.2848395
Guinea-Bissau,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,16.5637655854,7422.38994854,7438.95371412,14.2923547626,7899.6091321,7913.90148686
Liberia,Africa,Western Africa,Low income,IDA,Elevation between 200 and 400 meters,4674.96633911,487668.775755,492343.742095,141.001445949,37288.6173109,37429.6187569
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 5 and 10 meters,263104.584444,741672.246685,1004776.83113,208.674665962,11695.047715,11903.722381
Guinea-Bissau,Africa,Western Africa,Low income,IDA,Elevation between 25 and 50 meters,38694.2322931,234308.931837,273003.16413,45.3810417056,8212.43576739,8257.81680909
Togo,Africa,Western Africa,Low income,IDA,Elevation between 100 and 200 meters,505.773389161,56017.7179251,56523.4913143,131.231632411,18993.6061802,19124.8378126
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 1500 and 3000 meters,283727.317965,1059958.04879,1343685.36676,948.798980057,66344.2351813,67293.0341613
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 3000 and 5000 meters,127.936060578,21138.5007825,21266.4368431,75.3164024353,15548.4934766,15623.8098791
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 25 and 50 meters,2840.45489578,2191.14849571,5031.60339149,106.464691258,179.096049636,285.560740894
Togo,Africa,Western Africa,Low income,IDA,Elevation between 25 and 50 meters,9639.98174167,5496.68638945,15136.6681311,189.905726194,1101.76055598,1291.66628218
Sierra Leone,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,80404.6074708,237928.675949,318333.28342,196.356132875,17288.7098536,17485.0659865
Uganda,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,353814.417533,2100887.49384,2454701.91137,3423.05971042,174514.116673,177937.176383
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 200 and 400 meters,49123.6977172,1065073.38034,1114197.07805,153.744810283,8725.54683346,8879.29164374
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 3000 and 5000 meters,541.85333252,10968.5258961,11510.3792286,5.82021826506,206.704557359,212.524775624
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 1500 and 3000 meters,1608.42273831,197940.647823,199549.070561,70.1194258332,32583.9738486,32654.0932744
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 25 and 50 meters,374268.174148,757502.763866,1131770.93801,676.268086053,43113.8062857,43790.0743718
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 100 and 200 meters,83.9756484032,24322.3733624,24406.3490108,12.8730384111,5910.42104763,5923.29408604
Togo,Africa,Western Africa,Low income,IDA,Elevation between 800 and 1500 meters,12.481962204,3018.68467569,3031.1666379,0.853621900082,209.944657266,210.798279166
South Sudan,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,624.110879283,430122.697604,430746.808483,463.547562122,481725.462667,482189.010229
Malawi,Africa,Eastern Africa,Low income,IDA,Elevation between 200 and 400 meters,7.80895292759,2253.94823928,2261.75719221,4.12929368019,3057.03747463,3061.16676831
